ClassName:          FileName:

1. App                 App

2. SignUp            signUp

3. OrgSignUp         orgSignUp

4. UserSignUp       userSignUp

5. SignIn            signIn

6. LogInOrgs         LogInOrgs

7. LogInUsers        logInUsers

8. Navbar            navbar 

9. Orgprofile        orgprofile

10.OrgEditProf        orgEditProf

11. Createevents     createevents

12. Createevents     editevent

13. MyEvents          myEvents

14.UserProfile        userprofile

15.UserEditProf       userEditProf

16. Entryevent       entryevent

17. List               list

18. EventPageOrg     EventPageOrg

19. EventPage        EventPage

